

==> Preparing data..
Files already downloaded and verified
154 Loss: 1.322 | Acc: 55.980
155 Loss: 1.320 | Acc: 55.550
156 Loss: 1.318 | Acc: 56.250
157 Loss: 1.317 | Acc: 55.950
158 Loss: 1.317 | Acc: 56.000
159 Loss: 1.315 | Acc: 56.120
160 Loss: 1.310 | Acc: 56.330
161 Loss: 1.308 | Acc: 56.170
162 Loss: 1.305 | Acc: 56.360
163 Loss: 1.305 | Acc: 57.190
164 Loss: 1.302 | Acc: 56.220
165 Loss: 1.299 | Acc: 56.880
166 Loss: 1.298 | Acc: 56.720
167 Loss: 1.297 | Acc: 56.730
168 Loss: 1.295 | Acc: 56.630
169 Loss: 1.291 | Acc: 57.220
170 Loss: 1.288 | Acc: 57.080
171 Loss: 1.287 | Acc: 57.230
172 Loss: 1.286 | Acc: 57.240
173 Loss: 1.284 | Acc: 57.380
174 Loss: 1.283 | Acc: 57.070
